name	type	units	sampling_frequency
Fp1	EEG	uV	5000
Fp2	EEG	uV	5000
F3	EEG	uV	5000
F4	EEG	uV	5000
C3	EEG	uV	5000
C4	EEG	uV	5000
P3	EEG	uV	5000
P4	EEG	uV	5000
O1	EEG	uV	5000
O2	EEG	uV	5000
F7	EEG	uV	5000
F8	EEG	uV	5000
T7	EEG	uV	5000
T8	EEG	uV	5000
P7	EEG	uV	5000
P8	EEG	uV	5000
Fz	EEG	uV	5000
Cz	EEG	uV	5000
Pz	EEG	uV	5000
Oz	EEG	uV	5000
FC1	EEG	uV	5000
FC2	EEG	uV	5000
CP1	EEG	uV	5000
CP2	EEG	uV	5000
FC5	EEG	uV	5000
FC6	EEG	uV	5000
CP5	EEG	uV	5000
CP6	EEG	uV	5000
TP9	EEG	uV	5000
TP10	EEG	uV	5000
POz	EEG	uV	5000
ECG	ECG	unknown	5000
F1	EEG	uV	5000
F2	EEG	uV	5000
C1	EEG	uV	5000
C2	EEG	uV	5000
P1	EEG	uV	5000
P2	EEG	uV	5000
AF3	EEG	uV	5000
AF4	EEG	uV	5000
FC3	EEG	uV	5000
FC4	EEG	uV	5000
CP3	EEG	uV	5000
CP4	EEG	uV	5000
PO3	EEG	uV	5000
PO4	EEG	uV	5000
F5	EEG	uV	5000
F6	EEG	uV	5000
C5	EEG	uV	5000
C6	EEG	uV	5000
P5	EEG	uV	5000
P6	EEG	uV	5000
AF7	EEG	uV	5000
AF8	EEG	uV	5000
FT7	EEG	uV	5000
FT8	EEG	uV	5000
TP7	EEG	uV	5000
TP8	EEG	uV	5000
PO7	EEG	uV	5000
PO8	EEG	uV	5000
Fpz	EEG	uV	5000
CPz	EEG	uV	5000
EOGL	EOG	unknown	5000
EOGU	EOG	unknown	5000
